,geometry,n
2,POINT (127.34970410526316 36.33211615789473),19
3,POINT (127.35656065 36.33239),20
4,POINT (127.36249366666665 36.334353666666665),12
5,POINT (127.344848 36.361594333333336),0
6,POINT (127.36862264285716 36.36651385714286),14
7,POINT (127.341132625 36.35597791666667),22
8,POINT (127.35136684210525 36.36011352631579),19
9,POINT (127.34479272 36.36151996),30
10,POINT (127.35743349999996 36.36033153571428),30
11,POINT (127.3632686590909 36.35689438636363),42
12,POINT (127.36891439130436 36.35730547826087),23
13,POINT (127.34566133333334 36.367805999999995),3
14,POINT (127.36243023076923 36.364866076923086),13
15,POINT (127.36815775000002 36.342399),12
16,POINT (127.36938978947364 36.351383947368404),31
17,POINT (127.31921985714287 36.34154857142857),14
18,POINT (127.325352 36.3473081),10
19,POINT (127.3337528888889 36.34895866666667),9
20,POINT (127.34703777777776 36.35131488888888),0
21,POINT (127.35255433333334 36.351354),12
22,POINT (127.35476814285714 36.356006571428566),6
23,POINT (127.354455 36.36592),2
24,POINT (127.3259167857143 36.36733300000001),12
25,POINT (127.33183368421054 36.366428210526315),21
26,POINT (127.33866134285714 36.36483800000001),28
27,POINT (127.34523766666666 36.33250544444445),9
28,POINT (127.34031841666666 36.332359000000004),24
29,POINT (127.3281655 36.332333500000004),4
30,POINT (127.319787 36.33231416666667),6
31,POINT (127.349272 36.357152400000004),6
32,POINT (127.3691758 36.3476824),12
33,POINT (127.325876 36.359273),2
34,POINT (127.334155 36.33235),2
35,POINT (127.318231 36.359298),2
36,POINT (127.31848319999999 36.366911),5
37,POINT (127.35833555555557 36.35367211111111),9
38,POINT (127.33526555555555 36.3609315),20
39,POINT (127.3305506 36.354896200000006),12
40,POINT (127.340276 36.34990625),5
41,POINT (127.348017 36.351022),12
42,POINT (127.33731628571431 36.357924000000004),10
0,POINT (127.369500047619 36.35110085714285),19
1,POINT (127.36363816363634 36.35756761818183),55
2,POINT (127.36977447619046 36.357563571428564),21
3,POINT (127.33894327272728 36.36509396969698),32
4,POINT (127.35761715909094 36.35957777272727),43
5,POINT (127.34973316216214 36.35841594594594),32
6,POINT (127.34500906779664 36.36077184745764),58
7,POINT (127.34041477272726 36.3610885),23
8,POINT (127.36228 36.36421365384615),24
9,POINT (127.36841044444441 36.3662331111111),18
10,POINT (127.35290212000001 36.36012448),26
11,POINT (127.32367066666667 36.367488333333334),12
12,POINT (127.33539812 36.3644156),24
13,POINT (127.32916458823529 36.367076058823535),17
14,POINT (127.35681012500001 36.3537185625),16
15,POINT (127.3703035 36.334343),4
16,POINT (127.3573468 36.3326292),10
17,POINT (127.35019059999999 36.3320996),10
18,POINT (127.34047640000001 36.33143919999999),0
19,POINT (127.33736019999999 36.338109800000005),0
20,POINT (127.33846250000003 36.34562091666666),11
21,POINT (127.34955322222224 36.350934555555554),0
22,POINT (127.33101425000001 36.357361250000004),4
23,POINT (127.34030800000001 36.355257),16
24,POINT (127.34291871428572 36.35501214285715),0
25,POINT (127.319125 36.3421345),2
26,POINT (127.36675666666666 36.335306),9
27,POINT (127.34544749999999 36.33226),5
28,POINT (127.3389418 36.3322902),9
29,POINT (127.3325 36.332186),2
30,POINT (127.326271 36.332233),2
31,POINT (127.31948266666667 36.33221433333333),3
32,POINT (127.318038 36.337985),1
33,POINT (127.34810999999999 36.327483),2
34,POINT (127.349595 36.337186),2
35,POINT (127.34549566666668 36.34076883333333),6
36,POINT (127.345517 36.346041),6
37,POINT (127.348253 36.351353),12
38,POINT (127.36942370000001 36.344333000000006),12
39,POINT (127.35522233333332 36.36364066666667),7
40,POINT (127.345703 36.3678),3
41,POINT (127.33409950000001 36.3437385),3
42,POINT (127.337463 36.338248500000006),11
43,POINT (127.340526 36.350783),4
44,POINT (127.36658775000001 36.3407885),4
45,POINT (127.318423 36.366982),2
